          5000			          0.63
         10000			          1.16
         15000			          1.68
         20000			          2.20
         25000			          2.73
         30000			          3.26
         35000			          3.78
         40000			          4.32
         45000			          4.83
         50000			          5.44
         55000			          5.97
         60000			          6.50
         65000			          7.02
         70000			          7.54
         75000			          8.08
         80000			          8.62
         85000			          9.20
         90000			          9.73
         95000			         10.24
        100000			         10.76
