          5000			          0.75
         10000			          1.29
         15000			          1.78
         20000			          2.26
         25000			          2.76
         30000			          3.27
         35000			          3.77
         40000			          4.26
         45000			          4.75
         50000			          5.26
         55000			          5.76
         60000			          6.25
         65000			          6.74
         70000			          7.24
         75000			          7.73
         80000			          8.22
         85000			          8.71
         90000			          9.22
         95000			          9.72
        100000			         10.22
