          5000			          1.14
         10000			          2.17
         15000			          3.27
         20000			          4.38
         25000			          5.42
         30000			          6.48
         35000			          7.72
         40000			          9.01
         45000			         10.08
         50000			         11.13
         55000			         12.23
         60000			         13.28
         65000			         14.35
         70000			         15.42
         75000			         16.54
         80000			         17.59
         85000			         18.63
         90000			         19.67
         95000			         20.71
        100000			         21.76
