          5000			          0.69
         10000			          1.19
         15000			          1.69
         20000			          2.24
         25000			          2.76
         30000			          3.30
         35000			          3.81
         40000			          4.32
         45000			          4.82
         50000			          5.33
         55000			          5.83
         60000			          6.33
         65000			          6.84
         70000			          7.33
         75000			          7.84
         80000			          8.33
         85000			          8.83
         90000			          9.32
         95000			          9.84
        100000			         10.36
