          5000			          0.35
         10000			          0.58
         15000			          0.83
         20000			          1.07
         25000			          1.30
         30000			          1.58
         35000			          1.82
         40000			          2.05
         45000			          2.29
         50000			          2.51
         55000			          2.75
         60000			          2.99
         65000			          3.23
         70000			          3.45
         75000			          3.69
         80000			          3.92
         85000			          4.15
         90000			          4.38
         95000			          4.62
        100000			          4.85
