          5000			          1.23
         10000			          2.28
         15000			          3.32
         20000			          4.38
         25000			          5.42
         30000			          6.47
         35000			          7.53
         40000			          8.57
         45000			          9.62
         50000			         10.68
         55000			         11.73
         60000			         12.79
         65000			         13.85
         70000			         14.91
         75000			         15.95
         80000			         17.01
         85000			         18.10
         90000			         19.16
         95000			         20.20
        100000			         21.25
