          5000			          1.22
         10000			          2.31
         15000			          3.43
         20000			          4.52
         25000			          5.61
         30000			          6.70
         35000			          7.82
         40000			          8.90
         45000			         10.01
         50000			         11.09
         55000			         12.21
         60000			         13.30
         65000			         14.41
         70000			         15.51
         75000			         16.61
         80000			         17.72
         85000			         18.80
         90000			         19.91
         95000			         21.00
        100000			         22.13
