          5000			          0.45
         10000			          0.78
         15000			          1.08
         20000			          1.39
         25000			          1.69
         30000			          2.00
         35000			          2.32
         40000			          2.63
         45000			          2.94
         50000			          3.26
         55000			          3.58
         60000			          3.90
         65000			          4.22
         70000			          4.53
         75000			          4.84
         80000			          5.15
         85000			          5.46
         90000			          5.78
         95000			          6.09
        100000			          6.39
